rep,solution,nozzle,altura,indice
1,Agua,AI,10,0.00863
1,Agua,AI,20,0.00534
1,Agua,AI,30,0.00235
1,Agua,AI,40,0.00066
1,Agua,AI,50,0.00026
1,Agua,TTI,10,0.00325
1,Agua,TTI,20,0.00199
1,Agua,TTI,30,0.00132
1,Agua,TTI,40,0.00057
1,Agua,TTI,50,0.00023
1,Agua,XR,10,0.03653
1,Agua,XR,20,0.03798
1,Agua,XR,30,0.02254
1,Agua,XR,40,0.00717
1,Agua,XR,50,0.00125
1,"2,4D Colina",AI,10,0.00412
1,"2,4D Colina",AI,20,0.00263
1,"2,4D Colina",AI,30,0.00134
1,"2,4D Colina",AI,40,0.00058
1,"2,4D Colina",AI,50,0.00053
1,"2,4D Colina",TTI,10,0.00366
1,"2,4D Colina",TTI,20,0.00248
1,"2,4D Colina",TTI,30,0.00132
1,"2,4D Colina",TTI,40,0.0006
1,"2,4D Colina",TTI,50,0.00042
1,"2,4D Colina",XR,10,0.00938
1,"2,4D Colina",XR,20,0.00539
1,"2,4D Colina",XR,30,0.00188
1,"2,4D Colina",XR,40,0.00058
1,"2,4D Colina",XR,50,0.00038
1,Dicamba,AI,10,0.0058
1,Dicamba,AI,20,0.00413
1,Dicamba,AI,30,0.00191
1,Dicamba,AI,40,0.00061
1,Dicamba,AI,50,0.00028
1,Dicamba,TTI,10,0.00355
1,Dicamba,TTI,20,0.00248
1,Dicamba,TTI,30,0.00134
1,Dicamba,TTI,40,0.00069
1,Dicamba,TTI,50,0.00037
1,Dicamba,XR,10,0.01449
1,Dicamba,XR,20,0.00886
1,Dicamba,XR,30,0.00264
1,Dicamba,XR,40,0.0007
1,Dicamba,XR,50,0.00029
1,"2,4D Amina",AI,10,0.00549
1,"2,4D Amina",AI,20,0.0035
1,"2,4D Amina",AI,30,0.00149
1,"2,4D Amina",AI,40,0.0003
1,"2,4D Amina",AI,50,0.00012
1,"2,4D Amina",TTI,10,0.00484
1,"2,4D Amina",TTI,20,0.00343
1,"2,4D Amina",TTI,30,0.0016
1,"2,4D Amina",TTI,40,0.00089
1,"2,4D Amina",TTI,50,0.00075
1,"2,4D Amina",XR,10,0.04567
1,"2,4D Amina",XR,20,0.0401
1,"2,4D Amina",XR,30,0.02424
1,"2,4D Amina",XR,40,0.00883
1,"2,4D Amina",XR,50,0.002
2,Agua,AI,10,0.00785
2,Agua,AI,20,0.00569
2,Agua,AI,30,0.00252
2,Agua,AI,40,0.00084
2,Agua,AI,50,0.00034
2,Agua,TTI,10,0.00334
2,Agua,TTI,20,0.00191
2,Agua,TTI,30,0.00097
2,Agua,TTI,40,0.00052
2,Agua,TTI,50,0.00033
2,Agua,XR,10,0.04146
2,Agua,XR,20,0.03878
2,Agua,XR,30,0.02204
2,Agua,XR,40,0.0065
2,Agua,XR,50,0.00103
2,"2,4D Colina",AI,10,0.00413
2,"2,4D Colina",AI,20,0.00282
2,"2,4D Colina",AI,30,0.0013
2,"2,4D Colina",AI,40,0.00055
2,"2,4D Colina",AI,50,0.00036
2,"2,4D Colina",TTI,10,0.0038
2,"2,4D Colina",TTI,20,0.00262
2,"2,4D Colina",TTI,30,0.00136
2,"2,4D Colina",TTI,40,0.00059
2,"2,4D Colina",TTI,50,0.0004
2,"2,4D Colina",XR,10,0.00948
2,"2,4D Colina",XR,20,0.00558
2,"2,4D Colina",XR,30,0.00175
2,"2,4D Colina",XR,40,0.00059
2,"2,4D Colina",XR,50,0.00041
2,Dicamba,AI,10,0.00657
2,Dicamba,AI,20,0.00512
2,Dicamba,AI,30,0.00226
2,Dicamba,AI,40,0.00073
2,Dicamba,AI,50,0.00022
2,Dicamba,TTI,10,0.00373
2,Dicamba,TTI,20,0.0026
2,Dicamba,TTI,30,0.0014
2,Dicamba,TTI,40,0.00059
2,Dicamba,TTI,50,0.00037
2,Dicamba,XR,10,0.01457
2,Dicamba,XR,20,0.00907
2,Dicamba,XR,30,0.00371
2,Dicamba,XR,40,0.00092
2,Dicamba,XR,50,0.00038
2,"2,4D Amina",AI,10,0.0058
2,"2,4D Amina",AI,20,0.00356
2,"2,4D Amina",AI,30,0.00119
2,"2,4D Amina",AI,40,0.00027
2,"2,4D Amina",AI,50,0.00013
2,"2,4D Amina",TTI,10,0.0051
2,"2,4D Amina",TTI,20,0.00359
2,"2,4D Amina",TTI,30,0.00173
2,"2,4D Amina",TTI,40,0.00064
2,"2,4D Amina",TTI,50,0.00047
2,"2,4D Amina",XR,10,0.05163
2,"2,4D Amina",XR,20,0.03738
2,"2,4D Amina",XR,30,0.02513
2,"2,4D Amina",XR,40,0.00872
2,"2,4D Amina",XR,50,0.00166
3,Agua,AI,10,0.00791
3,Agua,AI,20,0.00606
3,Agua,AI,30,0.00285
3,Agua,AI,40,0.00077
3,Agua,AI,50,0.00028
3,Agua,TTI,10,0.00325
3,Agua,TTI,20,0.00204
3,Agua,TTI,30,0.00095
3,Agua,TTI,40,0.0007
3,Agua,TTI,50,0.00032
3,Agua,XR,10,0.03846
3,Agua,XR,20,0.03619
3,Agua,XR,30,0.02234
3,Agua,XR,40,0.00737
3,Agua,XR,50,0.0014
3,"2,4D Colina",AI,10,0.00407
3,"2,4D Colina",AI,20,0.0026
3,"2,4D Colina",AI,30,0.00132
3,"2,4D Colina",AI,40,0.00057
3,"2,4D Colina",AI,50,0.00037
3,"2,4D Colina",TTI,10,0.00388
3,"2,4D Colina",TTI,20,0.00244
3,"2,4D Colina",TTI,30,0.00125
3,"2,4D Colina",TTI,40,0.0006
3,"2,4D Colina",TTI,50,0.00036
3,"2,4D Colina",XR,10,0.00957
3,"2,4D Colina",XR,20,0.00589
3,"2,4D Colina",XR,30,0.00202
3,"2,4D Colina",XR,40,0.00055
3,"2,4D Colina",XR,50,0.0004
3,Dicamba,AI,10,0.00678
3,Dicamba,AI,20,0.00488
3,Dicamba,AI,30,0.00243
3,Dicamba,AI,40,0.0008
3,Dicamba,AI,50,0.00037
3,Dicamba,TTI,10,0.00384
3,Dicamba,TTI,20,0.00279
3,Dicamba,TTI,30,0.0016
3,Dicamba,TTI,40,0.00072
3,Dicamba,TTI,50,0.00049
3,Dicamba,XR,10,0.01661
3,Dicamba,XR,20,0.01006
3,Dicamba,XR,30,0.00315
3,Dicamba,XR,40,0.00063
3,Dicamba,XR,50,0.00031
3,"2,4D Amina",AI,10,0.00564
3,"2,4D Amina",AI,20,0.00352
3,"2,4D Amina",AI,30,0.00125
3,"2,4D Amina",AI,40,0.00025
3,"2,4D Amina",AI,50,0.00014
3,"2,4D Amina",TTI,10,0.00511
3,"2,4D Amina",TTI,20,0.00375
3,"2,4D Amina",TTI,30,0.00189
3,"2,4D Amina",TTI,40,0.00056
3,"2,4D Amina",TTI,50,0.00033
3,"2,4D Amina",XR,10,0.04979
3,"2,4D Amina",XR,20,0.04469
3,"2,4D Amina",XR,30,0.02536
3,"2,4D Amina",XR,40,0.00806
3,"2,4D Amina",XR,50,0.00147