Date, Time, Solution, Nozzle, Nozzle Orientation, Orifice, Pressure, Airspeed, Rep, Dv10, Dv50, Dv90, RS,30,50,80,one,105,141,150,two,210,730,1080
6/5/17, 13:49:54,Water,TTI11002,Standard,0.02,40,15,1,393.29,751.4,1096.31,0.94,0,0,0,0.04,0.07,0.34,0.42,1.24,1.44,47.06,88.81
6/5/17, 13:50:14,Water,TTI11002,Standard,0.02,40,15,2,386.2,750.15,1105.82,0.96,0,0,0,0.05,0.08,0.39,0.49,1.38,1.59,47.29,88.12
6/5/17, 13:50:33,Water,TTI11002,Standard,0.02,40,15,3,384.71,741.68,1097.2,0.96,0,0,0,0.05,0.08,0.39,0.48,1.39,1.61,48.41,88.82
6/5/17, 13:51:41,Water,AI11002,Standard,0.02,40,15,1,325.01,645.27,965.94,0.99,0,0,0.03,0.19,0.25,0.82,0.98,2.51,2.87,62.84,96.25
6/5/17, 13:51:58,Water,AI11002,Standard,0.02,40,15,2,325.6,651.2,971.86,0.99,0,0,0.03,0.19,0.25,0.82,0.99,2.52,2.88,61.8,96
6/5/17, 13:52:16,Water,AI11002,Standard,0.02,40,15,3,327.69,658.66,982.75,0.99,0,0,0.03,0.19,0.25,0.81,0.97,2.46,2.82,60.44,95.41
6/5/17, 13:53:02,Water,XR11002,Standard,0.02,40,15,1,92.04,198.58,336.23,1.23,0.19,1.6,6.87,12.25,13.9,26.77,30.17,50.58,54.66,100,100
6/5/17, 13:53:21,Water,XR11002,Standard,0.02,40,15,2,90.71,198.9,339.03,1.25,0.23,1.8,7.22,12.64,14.28,27.04,30.4,50.44,54.44,100,100
6/5/17, 13:53:40,Water,XR11002,Standard,0.02,40,15,3,89.51,199.01,340.63,1.26,0.24,1.89,7.51,13.03,14.68,27.38,30.7,50.39,54.32,100,100
6/5/17, 13:55:26,RUPM,XR11002,Standard,0.02,40,15,1,75.48,178.73,320.98,1.37,1.09,3.69,11.47,18.52,20.47,34.8,38.43,58.16,61.99,100,100
6/5/17, 13:55:46,RUPM,XR11002,Standard,0.02,40,15,2,75.78,179.07,319.98,1.36,1.12,3.7,11.35,18.3,20.24,34.57,38.21,58.09,61.95,100,100
6/5/17, 13:56:05,RUPM,XR11002,Standard,0.02,40,15,3,75.49,178.21,320.24,1.37,1.13,3.74,11.45,18.47,20.43,34.86,38.53,58.41,62.26,100,100
6/5/17, 13:56:55,RUPM,TTI11002,Standard,0.02,40,15,1,330.02,681.63,1048.07,1.05,0,0,0.03,0.16,0.22,0.73,0.88,2.32,2.66,56.16,91.68
6/5/17, 13:57:34,RUPM,TTI11002,Standard,0.02,40,15,2,328.75,680.54,1047.33,1.06,0,0,0.03,0.17,0.23,0.77,0.93,2.4,2.75,56.3,91.7
6/5/17, 13:57:53,RUPM,TTI11002,Standard,0.02,40,15,3,323.51,671.87,1019.76,1.04,0,0,0.03,0.19,0.25,0.83,1,2.56,2.93,57.47,92.87
6/5/17, 13:58:44,RUPM,AI11002,Standard,0.02,40,15,1,274.09,573.61,909.16,1.11,0,0,0.15,0.46,0.58,1.62,1.92,4.37,4.94,72.26,97.69
6/5/17, 13:59:02,RUPM,AI11002,Standard,0.02,40,15,2,273.36,568.52,897.31,1.1,0,0,0.15,0.47,0.6,1.65,1.95,4.42,4.98,73.24,97.95
6/5/17, 13:59:25,RUPM,AI11002,Standard,0.02,40,15,3,272.08,571.04,913.83,1.12,0,0,0.15,0.48,0.6,1.68,1.98,4.49,5.07,72.33,97.46
6/5/17, 14:02:22,RUPM+Clarity,AI11002,Standard,0.02,40,15,1,257.95,538.06,840.05,1.08,0,0,0.18,0.56,0.71,1.95,2.3,5.18,5.84,78.37,99.28
6/5/17, 14:02:39,RUPM+Clarity,AI11002,Standard,0.02,40,15,2,253.93,537.33,850.09,1.11,0,0,0.32,0.76,0.91,2.23,2.6,5.57,6.24,77.84,98.75
6/5/17, 14:02:57,RUPM+Clarity,AI11002,Standard,0.02,40,15,3,253.19,536.62,846.93,1.11,0,0,0.32,0.76,0.91,2.25,2.63,5.62,6.3,78.06,98.91
6/5/17, 14:03:59,RUPM+Clarity,XR11002,Standard,0.02,40,15,1,78.38,177.93,317.7,1.34,0.4,2.76,10.54,17.78,19.8,34.66,38.42,58.64,62.53,100,100
6/5/17, 14:04:18,RUPM+Clarity,XR11002,Standard,0.02,40,15,2,77.22,176.74,315.69,1.35,0.45,2.95,10.94,18.3,20.33,35.21,38.97,59.08,62.94,100,100
6/5/17, 14:04:38,RUPM+Clarity,XR11002,Standard,0.02,40,15,3,78.28,177.45,316.3,1.34,0.41,2.79,10.57,17.82,19.85,34.77,38.55,58.88,62.79,100,100
6/5/17, 14:05:36,RUPM+Clarity,TTI11002,Standard,0.02,40,15,1,319.85,660.2,999.7,1.03,0,0,0.03,0.19,0.25,0.83,1,2.6,2.98,59.21,94.42
6/5/17, 14:05:56,RUPM+Clarity,TTI11002,Standard,0.02,40,15,2,319.73,660.5,1021.98,1.06,0,0,0.03,0.17,0.23,0.79,0.95,2.53,2.91,59.04,92.87
6/5/17, 14:06:16,RUPM+Clarity,TTI11002,Standard,0.02,40,15,3,319.08,660.14,1023.22,1.07,0,0,0.03,0.18,0.24,0.8,0.96,2.54,2.92,59.04,92.82
6/5/17, 14:09:01,Enlist Duo,TTI11002,Standard,0.02,40,15,1,331.27,618.7,940.28,0.98,0,0,0,0.06,0.1,0.5,0.62,1.88,2.19,67.54,96.99
6/5/17, 14:09:20,Enlist Duo,TTI11002,Standard,0.02,40,15,2,334.75,617.87,902.76,0.92,0,0,0,0.05,0.08,0.43,0.54,1.69,1.98,68.37,99.41
6/5/17, 14:09:40,Enlist Duo,TTI11002,Standard,0.02,40,15,3,329.09,608.28,877.65,0.9,0,0,0,0.06,0.11,0.53,0.65,1.95,2.26,70.33,99.92
6/5/17, 14:12:27,Enlist Duo,AI11002,Standard,0.02,40,15,1,286.66,516.5,730.22,0.86,0,0,0.04,0.27,0.35,1.09,1.31,3.31,3.79,89.98,100
6/5/17, 14:12:45,Enlist Duo,AI11002,Standard,0.02,40,15,2,288.13,517.68,730.59,0.85,0,0,0.04,0.26,0.34,1.08,1.3,3.28,3.76,89.95,100
6/5/17, 14:13:03,Enlist Duo,AI11002,Standard,0.02,40,15,3,288.71,522.08,741.86,0.87,0,0,0.04,0.26,0.35,1.08,1.29,3.27,3.75,89,100
6/5/17, 14:13:53,Enlist Duo,XR11002,Standard,0.02,40,15,1,102.51,207.99,341.21,1.15,0.03,0.78,4.71,9.25,10.74,22.83,26.1,46.68,50.83,100,100
6/5/17, 14:14:29,Enlist Duo,XR11002,Standard,0.02,40,15,2,103.09,208.02,346.32,1.17,0.04,0.83,4.64,9.08,10.57,22.68,25.96,46.66,50.82,100,100
6/5/17, 14:14:48,Enlist Duo,XR11002,Standard,0.02,40,15,3,104,209.17,345.14,1.15,0.04,0.78,4.47,8.83,10.29,22.28,25.54,46.18,50.34,100,100
6/5/17, 14:26:24,Weedar64,XR11002,Standard,0.02,40,15,1,89.08,196.05,329.48,1.23,0.24,1.9,7.6,13.2,14.87,27.82,31.21,51.62,55.71,100,100
6/5/17, 14:26:43,Weedar64,XR11002,Standard,0.02,40,15,2,87.76,193.53,331.36,1.26,0.26,1.99,7.91,13.72,15.45,28.76,32.24,52.61,56.66,100,100
6/5/17, 14:27:02,Weedar64,XR11002,Standard,0.02,40,15,3,86.47,192.75,328.71,1.26,0.31,2.21,8.29,14.12,15.85,29.09,32.54,52.95,57.01,100,100
6/5/17, 14:27:54,Weedar64,TTI11002,Standard,0.02,40,15,1,383.36,750.56,1107.35,0.96,0,0,0,0.05,0.09,0.41,0.5,1.39,1.6,47.29,87.96
6/5/17, 14:28:13,Weedar64,TTI11002,Standard,0.02,40,15,2,378.7,747.81,1107.6,0.97,0,0,0,0.05,0.09,0.41,0.51,1.43,1.65,47.68,87.95
6/5/17, 14:28:32,Weedar64,TTI11002,Standard,0.02,40,15,3,377.61,754.12,1121.07,0.99,0,0,0,0.05,0.09,0.43,0.53,1.46,1.69,46.95,86.83
6/5/17, 14:29:21,Weedar64,AI11002,Standard,0.02,40,15,1,318.98,597.71,898.86,0.97,0,0,0.03,0.13,0.18,0.66,0.79,2.17,2.51,70.83,98.49
6/5/17, 14:29:38,Weedar64,AI11002,Standard,0.02,40,15,2,315.08,594.25,898.95,0.98,0,0,0.03,0.16,0.22,0.76,0.91,2.38,2.73,71.19,98.35
6/5/17, 14:29:57,Weedar64,AI11002,Standard,0.02,40,15,3,317.43,600.72,918.58,1,0,0,0.03,0.2,0.26,0.8,0.95,2.39,2.73,69.84,97.75
6/5/17, 14:33:30,Clarity,AI11002,Standard,0.02,40,15,1,321.86,609.93,930.92,1,0,0,0.04,0.2,0.27,0.8,0.96,2.35,2.69,68.46,97.4
6/5/17, 14:33:48,Clarity,AI11002,Standard,0.02,40,15,2,319.91,605.79,916.48,0.98,0,0,0.04,0.22,0.29,0.85,1.01,2.43,2.77,69.35,97.96
6/5/17, 14:34:27,Clarity,AI11002,Standard,0.02,40,15,3,317.52,606.59,926.2,1,0,0,0.04,0.22,0.29,0.87,1.03,2.51,2.86,68.87,97.58
6/5/17, 14:35:15,Clarity,XR11002,Standard,0.02,40,15,1,83.93,190.14,326.1,1.27,0.47,2.64,8.95,14.88,16.63,30.03,33.52,54.01,58.07,100,100
6/5/17, 14:35:35,Clarity,XR11002,Standard,0.02,40,15,2,83.73,189.8,327.25,1.28,0.47,2.64,8.99,14.97,16.73,30.18,33.69,54.13,58.18,100,100
6/5/17, 14:35:54,Clarity,XR11002,Standard,0.02,40,15,3,83.38,189.14,324.17,1.27,0.49,2.7,9.09,15.08,16.85,30.37,33.89,54.41,58.46,100,100
6/5/17, 14:37:08,Clarity,TTI11002,Standard,0.02,40,15,1,383.23,763.81,1123.4,0.97,0,0,0,0.05,0.09,0.41,0.5,1.4,1.61,45.67,86.52
6/5/17, 14:37:27,Clarity,TTI11002,Standard,0.02,40,15,2,379.26,755.56,1116.53,0.98,0,0,0,0.06,0.09,0.43,0.53,1.45,1.68,46.74,87.15
6/5/17, 14:37:47,Clarity,TTI11002,Standard,0.02,40,15,3,382.72,765.5,1132.24,0.98,0,0,0,0.05,0.09,0.42,0.51,1.43,1.66,45.49,85.83